Train Step:3070, Train Loss:1.4839, Val Acc:0.1089
Train Step:3080, Train Loss:1.0824, Val Acc:0.1090
Train Step:3090, Train Loss:1.7747, Val Acc:0.1085
Train Step:3100, Train Loss:1.1228, Val Acc:0.1087
Train Step:3110, Train Loss:1.2495, Val Acc:0.1088
Train Step:3120, Train Loss:1.7103, Val Acc:0.1091
Train Step:3130, Train Loss:1.2926, Val Acc:0.1093
Train Step:3140, Train Loss:1.3775, Val Acc:0.1093
Train Step:3150, Train Loss:1.3714, Val Acc:0.1102
Train Step:3160, Train Loss:1.3952, Val Acc:0.1107
Train Step:3170, Train Loss:1.3551, Val Acc:0.1107
Train Step:3180, Train Loss:1.2743, Val Acc:0.1107
Train Step:3190, Train Loss:1.1431, Val Acc:0.1103
Train Step:3200, Train Loss:1.0145, Val Acc:0.1103
Train Step:3210, Train Loss:1.0678, Val Acc:0.1107
Train Step:3220, Train Loss:1.8320, Val Acc:0.1109
Train Step:3230, Train Loss:1.4660, Val Acc:0.1111
Train Step:3240, Train Loss:1.2430, Val Acc:0.1110
Train Step:3250, Train Loss:1.6726, Val Acc:0.1108
Train Step:3260, Train Loss:1.4946, Val Acc:0.1105
Train Step:3270, Train Loss:1.0646, Val Acc:0.1103
Train Step:3280, Train Loss:1.4039, Val Acc:0.1104
Train Step:3290, Train Loss:1.0538, Val Acc:0.1105
Train Step:3300, Train Loss:1.1315, Val Acc:0.1106
Train Step:3310, Train Loss:1.6457, Val Acc:0.1106
Train Step:3320, Train Loss:1.5061, Val Acc:0.1112
Train Step:3330, Train Loss:1.2651, Val Acc:0.1112
Train Step:3340, Train Loss:1.1347, Val Acc:0.1116
Train Step:3350, Train Loss:1.3264, Val Acc:0.1117
Train Step:3360, Train Loss:1.6048, Val Acc:0.1117
Train Step:3370, Train Loss:1.3992, Val Acc:0.1116
Train Step:3380, Train Loss:1.2337, Val Acc:0.1113
Train Step:3390, Train Loss:1.6412, Val Acc:0.1114
Train Step:3400, Train Loss:1.6539, Val Acc:0.1114
Train Step:3410, Train Loss:1.8698, Val Acc:0.1119
Train Step:3420, Train Loss:1.6001, Val Acc:0.1116
Train Step:3430, Train Loss:1.2014, Val Acc:0.1115
Train Step:3440, Train Loss:1.4926, Val Acc:0.1114
Train Step:3450, Train Loss:1.2470, Val Acc:0.1113
Train Step:3460, Train Loss:1.0281, Val Acc:0.1113
Train Step:3470, Train Loss:1.3364, Val Acc:0.1116
Train Step:3480, Train Loss:1.6595, Val Acc:0.1116
Train Step:3490, Train Loss:1.4180, Val Acc:0.1122
Train Step:3500, Train Loss:1.2518, Val Acc:0.1123
